,index,nomptar,CodeINSEE,coord
217,575,Marne-la-Vallée Chessy,77111,"48.8684969295, 2.78225972723"
218,693,Marx-Dormoy,75118,"48.8903740405, 2.35979700534"
219,675,Massy-Palaiseau,91377,"48.7241484853, 2.25934234562"
220,666,Massy-Verrières,91377,"48.7346012614, 2.27328170666"
221,869,Maubert-Mutualité,75105,"48.8497168994, 2.34892555516"
222,183,Michel Bizot,75112,"48.8369909969, 2.40291960354"
223,194,Michel-Ange-Auteuil,75116,"48.847924552, 2.26423590245"
224,98,Michel-Ange-Molitor,75116,"48.8450560883, 2.26191141995"
225,747,Mirabeau,75116,"48.8470848181, 2.27307491159"
226,501,Miromesnil,75108,"48.8735320999, 2.31557802153"
227,591,Mitry-Claye,77294,"48.9758558192, 2.64236629857"
228,15,Monceau,75108,"48.88057685, 2.30941594283"
229,182,Montgallet,75112,"48.8441426903, 2.38962500951"
230,36,Montparnasse-Bienvenue,75114,"48.8441894677, 2.3244412291"
231,45,Mouton-Duvernet,75114,"48.8321915585, 2.3304069893"
232,121,Ménilmontant,75111,"48.8657057469, 2.38442937183"
233,391,Nanterre-Préfecture,92050,"48.8956598913, 2.22310032472"
234,755,Nanterre-Université,92050,"48.9009889733, 2.21379170886"
235,569,Nanterre-Ville,92050,"48.8953251065, 2.19584047054"
236,101,Nation,75112,"48.8481111908, 2.39800400946"
237,374,Nationale,75113,"48.8328812479, 2.36190940468"
238,919,Neuilly-Plaisance,93049,"48.8534156686, 2.51354258498"
239,650,Neuville-Université,95450,"49.0142832167, 2.07837982229"
240,738,Nogent-sur-Marne,94052,"48.8351087334, 2.47168391283"
241,398,Noisiel,77337,"48.8434849935, 2.61661461052"
242,761,Noisy-Champs,93051,"48.8426610663, 2.57825244785"
243,752,Noisy-le-Grand (Mont d'Est),93051,"48.8407951048, 2.54800262639"
244,689,Notre-Dame de Lorette,75109,"48.876796447, 2.33902598146"
245,813,Notre-Dame des Champs,75106,"48.8447830076, 2.32844447996"
246,48,Oberkampf,75111,"48.8640301694, 2.36918476922"
247,35,Odéon,75106,"48.8521980045, 2.33877999971"
248,709,Olympiades,75113,"48.8269482412, 2.36703843005"
249,227,Opéra,75109,"48.8706310394, 2.33173704503"
250,564,Orly-Ouest,94054,"48.7283247343, 2.35861264888"
251,648,Orly-Sud,94054,"48.7276754473, 2.36825867653"
252,597,Orsay-Ville,91471,"48.6976016061, 2.18207974521"
253,268,Ourcq,75119,"48.8866187516, 2.38548413305"
254,173,Palais-Royal (Musée du Louvre),75101,"48.8633603817, 2.33545659061"
255,596,Palaiseau,91477,"48.7179193959, 2.24650141299"
256,676,Palaiseau Villebon,91477,"48.7077458422, 2.23703952979"
257,796,Parc de Sceaux,92002,"48.770621955, 2.30984199318"
258,725,Parc des Expositions,93078,"48.9735259917, 2.5144841727"
259,126,Parmentier,75111,"48.8652598159, 2.37475707838"
260,69,Passy,75116,"48.8575343417, 2.28559270248"
261,378,Pasteur,75115,"48.8420127633, 2.3132900405"
262,645,Pelleport,75120,"48.868223402, 2.40114727627"
263,29,Pereire,75117,"48.8850310205, 2.29713510817"
264,628,Pernety,75114,"48.833933779, 2.31790896883"
265,11,Philippe Auguste,75111,"48.8583788007, 2.38973472941"
266,61,Picpus,75112,"48.8453230738, 2.40178631043"
267,82,Pierre et Marie Curie,94041,"48.8159171408, 2.37787881315"
268,19,Pigalle,75118,"48.8824224877, 2.33725467877"
269,74,Place Monge (Jardin des Plantes),75105,"48.843164652, 2.35211035908"
270,54,Place d'Italie,75113,"48.8312826147, 2.35545586703"
271,303,Place de Clichy,75109,"48.8834556108, 2.32737499008"
272,763,Place des Fêtes,75119,"48.8767294281, 2.39314602843"
273,548,Plaisance,75114,"48.831758053, 2.31386654651"
274,187,Pointe du Lac,94028,"48.7681110356, 2.46565028571"
275,334,Poissonnière,75110,"48.8773530545, 2.34938142062"
276,566,Poissy,78498,"48.9331642217, 2.04108350764"
277,211,Pont Marie (Cité des Arts),75104,"48.8534635449, 2.35738396948"
278,72,Pont Neuf,75101,"48.8585340615, 2.34211723533"
279,283,Pont de Levallois-Bécon,92044,"48.8973098644, 2.28076863947"
280,106,Pont de Neuilly,92051,"48.8855060687, 2.25852746686"
281,298,Pont de Sèvres,92012,"48.8296902972, 2.23052843086"
282,842,Port Royal,75105,"48.8398851252, 2.33687343756"
283,273,Porte Dauphine (Maréchal de Lattre de Tassigny),75116,"48.8717921757, 2.27486995786"
284,88,Porte Dorée,75112,"48.835497212, 2.40618520888"
285,8,Porte Maillot,75117,"48.8780061355, 2.28246563667"
286,609,Porte d'Auteuil,75116,"48.8482259396, 2.25769888233"
287,75,Porte d'Italie,75113,"48.8189864752, 2.36120868218"
288,77,Porte d'Ivry,75113,"48.8213573215, 2.36930823389"
289,259,Porte d'Orléans (Général Leclerc),75114,"48.8228170194, 2.32507262181"
290,125,Porte de Bagnolet,75120,"48.8643364947, 2.4088253727"
291,25,Porte de Champerret,75117,"48.8857391189, 2.29186061734"
292,95,Porte de Charenton,75112,"48.8326603057, 2.40046363512"
293,76,Porte de Choisy,75113,"48.819785644, 2.3646252716"
294,700,Porte de Clichy,75117,"48.8943910919, 2.31360657277"
295,32,Porte de Clignancourt,75118,"48.8979701297, 2.3439883801"
296,384,Porte de Montreuil,75120,"48.853379837, 2.41045818408"
297,47,Porte de Pantin,75119,"48.8885839402, 2.39242287239"
298,312,Porte de Saint-Cloud,75116,"48.8375652937, 2.25559127111"
299,696,Porte de Saint-Ouen,75118,"48.897511692, 2.32902164388"
300,547,Porte de Vanves,75114,"48.8277652858, 2.30431234743"
301,823,Porte de Versailles,75115,"48.832253412, 2.28786413449"
302,1,Porte de Vincennes,75120,"48.8470164776, 2.410816879"
303,688,Porte de la Chapelle,75118,"48.897959305, 2.35924143528"
304,79,Porte de la Villette,75119,"48.8975291161, 2.38564422679"
305,615,Porte des Lilas,75120,"48.8772346759, 2.40652683971"
306,560,Pré-Saint-Gervais,75119,"48.8803666123, 2.39855961042"
307,172,Pyramides,75101,"48.8664969463, 2.33409421193"
308,787,Pyramides,75102,"48.8666137899, 2.33440752762"
309,524,Pyrénées,75120,"48.8738211316, 2.38488636886"
310,22,Père-Lachaise,75111,"48.8629456209, 2.38689240121"
311,57,Quai de la Gare,75113,"48.837614635, 2.37385211235"
312,150,Quai de la Rapée,75112,"48.8459659916, 2.3669131764"
313,285,Quatre Septembre,75102,"48.8696605314, 2.33632827831"
314,530,Rambuteau,75104,"48.8611933549, 2.35328695654"
315,604,Ranelagh,75116,"48.8555043622, 2.26995917492"
316,38,Raspail,75114,"48.8391569407, 2.33047414783"
317,536,Rennes,75106,"48.848198228, 2.32802174529"
318,94,Reuilly-Diderot,75112,"48.8472174603, 2.38720417388"
319,49,Richard-Lenoir,75111,"48.8606859512, 2.37241092855"
320,180,Richelieu-Drouot,75109,"48.8720061982, 2.33991138728"
321,164,Riquet,75119,"48.8883931911, 2.37443310555"
322,386,Robespierre,93048,"48.8556807674, 2.42365908215"
323,938,Robinson,92071,"48.7800312802, 2.28105937514"
324,282,Rome,75117,"48.8820707932, 2.32039833598"
325,277,Rue Saint-Maur,75111,"48.8629456209, 2.38689240121"
